student_id,adherence%,basic_adherence%,interval_adherence%,smart_duration,intervals,total_duration
238,12.917259259259257,19.137037037037036,0.0,983,1,1212
389,0.0,0.0,0.0,0,0,0
404,4.31637037037037,7.041851851851851,0.0,337,0,525
415,0.0,0.0,0.0,0,0,0
417,12.00851851851852,12.00851851851852,10.0,1410,5,1540
420,0.24555555555555558,0.4092592592592592,0.0,18,0,30
434,0.01711111111111111,0.028518518518518523,0.0,1,0,3
436,11.197925925925926,11.593703703703705,10.0,713,9,932
445,17.02597441077441,24.44814814814815,24.0,1929,24,2588
470,4.690740740740741,4.690740740740741,0.0,283,0,775
471,70.62724579124578,73.04111111111112,16.0,5565,14,14786
482,1.345185185185185,1.345185185185185,0.0,61,0,85
485,0.005185185185185185,0.005185185185185185,0.0,0,0,1
498,2.6797777777777783,3.806296296296296,4.0,202,4,283
511,1.8651111111111112,3.0977777777777775,6.0,140,4,173
518,2.3708888888888886,3.9340740740740747,0.0,238,0,439
520,7.975333333333333,9.094444444444445,0.0,419,0,874
523,20.18111111111111,20.18111111111111,20.0,1553,53,2677
537,0.9142222222222222,1.5237037037037038,2.0,99,1,181
538,3.924074074074074,5.626296296296296,28.0,265,19,945
539,0.33888888888888896,0.5648148148148149,0.0,25,0,30
561,0.68,0.68,0.0,31,0,44
565,1.570888888888889,2.618148148148148,0.0,218,0,297
567,1.5186666666666666,2.531111111111111,2.0,116,1,295
570,5.785777777777778,8.257777777777777,0.0,505,0,802
600,0.0,0.0,0.0,0,0,0
1374,21.400592592592588,29.62333333333333,18.0,1587,12,1887
1377,7.884814814814815,11.35074074074074,10.0,706,5,1136
1378,17.272836940836942,28.89481481481481,10.0,2290,6,3898
1381,1.13,1.3551851851851853,12.0,87,6,118
1382,18.56612962962963,30.488518518518518,2.0,2023,3,2686
1383,0.0,0.0,0.0,0,0,0
1437,0.40355555555555556,0.6725925925925925,0.0,30,0,43
1439,8.881037037037036,11.302962962962964,14.0,725,15,3968
1441,0.7533333333333332,1.2555555555555555,0.0,56,0,122
1442,1.4144444444444444,2.3574074074074076,0.0,106,0,130
1444,4.011555555555557,6.0092592592592595,0.0,331,0,366
1447,1.1603703703703703,1.4322222222222223,0.0,95,0,183
1451,9.374,13.314814814814815,0.0,815,0,1110
1452,13.99074074074074,13.99074074074074,16.0,755,15,1032
1458,7.077777777777779,7.077777777777779,0.0,339,0,481
1461,2.9304444444444444,3.4670370370370365,0.0,162,1,240
1464,2.542,3.78962962962963,4.0,221,3,431
1474,5.623333333333334,9.341111111111111,0.0,422,0,578
1475,2.4656296296296296,3.9637037037037035,4.0,178,5,271
1476,0.0,0.0,0.0,30,0,34
1477,9.585555555555555,13.505925925925926,10.0,977,12,1254
1479,6.91074074074074,8.468148148148149,12.0,520,8,727
1480,0.04755555555555556,0.07925925925925927,0.0,34,0,66
1489,0.0,0.0,0.0,0,0,0
1491,0.0,0.0,0.0,0,0,0
1493,1.170074074074074,1.4288888888888889,0.0,64,0,177
1494,0.0,0.0,0.0,0,0,0
1516,0.2444444444444445,0.2444444444444445,0.0,11,0,28
1519,7.2297777777777785,11.267037037037037,0.0,621,0,803
1520,8.697744444444444,12.615185185185188,14.0,1264,17,1461
1576,0.6551111111111111,0.9222222222222224,6.0,42,4,76
1577,17.523666666666667,20.0,20.0,2888,33,3929
1580,0.01851851851851852,0.01851851851851852,0.0,1,0,23
1582,0.0,0.0,0.0,0,0,0
1585,0.0,0.0,0.0,0,0,1
1588,0.0,0.0,0.0,0,0,0
1608,4.897555555555555,8.14,0.0,393,0,546
1612,1.3082222222222222,2.1803703703703703,0.0,98,0,187
1613,0.0,0.0,0.0,0,0,0
1618,0.6106666666666666,1.0177777777777777,0.0,46,0,59
1619,0.13466666666666666,0.22444444444444442,0.0,10,0,20
1622,0.5933333333333334,0.9888888888888888,0.0,44,0,54
1638,1.3366666666666667,1.3366666666666667,0.0,60,0,84
1641,0.0,0.0,0.0,0,0,14
1646,3.148444444444445,5.247407407407407,6.0,266,6,333
1648,12.479269841269842,14.822222222222223,14.0,1316,10,1642
1649,2.543111111111111,3.5377777777777775,0.0,170,0,278
1658,0.08888888888888889,0.14814814814814817,0.0,7,0,18
1661,9.302962962962964,9.302962962962964,0.0,816,0,921
1671,11.422033333333335,14.0,0.0,1516,0,1702
1675,0.537111111111111,0.8951851851851853,0.0,40,0,60
1681,0.3873333333333333,0.6455555555555555,0.0,29,0,45
1705,3.8093333333333335,5.493703703703703,0.0,286,0,352
1710,0.0,0.0,0.0,0,0,0
1727,0.018222222222222223,0.03037037037037037,0.0,18,0,135
1729,0.5044444444444445,0.5044444444444445,0.0,23,0,24
1730,0.9022222222222224,0.9022222222222224,2.0,41,1,44
1731,0.05333333333333333,0.05333333333333333,0.0,7,0,40
1735,0.48466666666666663,0.8077777777777778,0.0,97,0,117
