student_id,adherence%,basic_adherence%,smart_duration,intervals,total_duration
11,14.908148148148149,14.908148148148149,896,8,2119
15,26.6937037037037,26.6937037037037,1533,19,1952
20,0.12444444444444445,0.12444444444444445,6,3,8
34,0.7725925925925925,0.7725925925925925,35,0,64
40,41.29466666666667,56.875185185185195,5178,10,6549
42,78.10366137566139,83.37185185185184,6936,25,12797
48,42.41,42.41,2401,0,3255
57,24.655259259259257,41.402222222222214,2600,10,8044
75,3.6148148148148143,3.6148148148148143,287,0,1617
79,31.589217171717173,50.18074074074074,5071,29,11519
90,59.19676402116402,86.18259259259258,6288,26,8607
91,0.748148148148148,0.748148148148148,66,6,246
105,3.4140740740740747,3.4140740740740747,154,0,512
147,0.0,0.0,0,0,0
152,57.754444444444445,57.754444444444445,3063,0,6500
169,51.251481481481484,51.251481481481484,3211,44,3944
173,1.9707407407407407,1.9707407407407407,105,3,205
192,11.644074074074075,11.644074074074075,647,21,3627
206,26.66444444444444,26.66444444444444,1625,4,2031
209,15.345555555555555,15.345555555555555,722,5,2101
238,12.917259259259257,19.137037037037036,983,1,1212
251,42.587407407407404,42.587407407407404,2780,0,3545
260,13.157407407407407,13.157407407407407,700,0,1571
269,76.93666666666667,76.93666666666667,5321,52,5994
323,16.131851851851852,18.84148148148148,1034,15,1472
361,0.670222222222222,1.117037037037037,50,0,82
362,38.84546825396825,51.99814814814815,2913,17,3851
365,69.45767037037038,91.94518518518518,5912,84,6966
384,86.6773037037037,99.7025925925926,11144,3,38325
389,0.0,0.0,0,0,0
404,4.31637037037037,7.041851851851851,337,0,525
410,0.09703703703703703,0.09703703703703703,4,1,14
415,0.0,0.0,0,0,0
417,12.00851851851852,12.00851851851852,1410,5,1540
420,0.24555555555555558,0.4092592592592592,18,0,30
434,0.01711111111111111,0.028518518518518523,1,0,3
436,11.197925925925926,11.593703703703705,713,9,932
445,17.02597441077441,24.44814814814815,1929,24,2588
470,4.690740740740741,4.690740740740741,283,0,775
471,70.62724579124578,73.04111111111112,5565,14,14786
482,1.345185185185185,1.345185185185185,61,0,85
485,0.005185185185185185,0.005185185185185185,0,0,1
489,1.8344444444444443,1.8344444444444443,83,0,167
498,2.6797777777777783,3.806296296296296,202,4,283
511,1.8651111111111112,3.0977777777777775,140,4,173
518,2.3708888888888886,3.9340740740740747,238,0,439
520,7.975333333333333,9.094444444444445,419,0,874
523,20.18111111111111,20.18111111111111,1553,53,2677
537,0.9142222222222222,1.5237037037037038,99,1,181
538,3.924074074074074,5.626296296296296,265,19,945
539,0.33888888888888896,0.5648148148148149,25,0,30
561,0.68,0.68,31,0,44
565,1.570888888888889,2.618148148148148,218,0,297
567,1.5186666666666666,2.531111111111111,116,1,295
570,5.785777777777778,8.257777777777777,505,0,802
592,9.425555555555555,10.487037037037037,753,0,911
600,0.0,0.0,0,0,0
601,38.017407407407404,38.017407407407404,4784,46,6730
610,0.03666666666666666,0.0611111111111111,5,0,6
612,1.352962962962963,1.352962962962963,61,3,68
613,12.984074074074073,12.984074074074073,605,0,737
614,49.21037037037038,49.21037037037038,2976,105,3463
620,0.0,0.0,0,12,0
621,2.172962962962963,2.172962962962963,98,0,129
625,41.430925925925926,44.45518518518518,2926,49,4174
626,47.09866666666667,50.907037037037036,4088,22,5209
650,32.09222222222222,32.09222222222222,2117,0,2940
651,17.14222222222222,17.14222222222222,857,0,1391
658,0.3951851851851852,0.3951851851851852,18,0,88
676,0.0,0.0,0,0,0
684,16.456296296296298,16.456296296296298,1086,0,1227
686,0.4125925925925926,0.4125925925925926,19,0,31
695,7.262222222222222,7.262222222222222,487,1,561
705,9.687407407407408,9.687407407407408,436,0,676
709,8.276296296296296,8.276296296296296,878,10,2336
710,75.2311111111111,75.2311111111111,5576,15,11599
711,0.4722222222222222,0.4722222222222222,51,0,74
712,45.37222222222222,45.37222222222222,3277,114,3879
713,9.43222222222222,9.43222222222222,539,0,646
714,0.49037037037037035,0.49037037037037035,22,0,49
715,2.0037037037037035,2.0037037037037035,90,4,107
717,32.632962962962964,32.632962962962964,1468,91,1997
719,68.88740740740741,68.88740740740741,3101,48,3550
723,0.4914814814814815,0.4914814814814815,22,4,151
732,0.0,0.0,0,0,0
742,60.03045238095238,84.47037037037038,5843,107,10479
748,3.5970370370370373,3.5970370370370373,162,8,222
753,9.645259259259259,14.506296296296298,710,0,1346
755,38.49296296296296,38.49296296296296,2014,0,3123
756,5.473333333333333,5.473333333333333,277,0,507
757,56.11401481481482,80.30259259259259,6209,21,8672
758,70.02851851851852,71.78407407407408,5050,21,7477
759,94.27381818181819,100.0,12833,166,16685
762,12.633333333333335,12.633333333333335,678,2,1032
766,1.4007407407407406,1.4007407407407406,130,0,189
775,20.54859259259259,23.1,1409,7,2010
787,65.67331313131314,90.37444444444444,9582,105,14056
788,0.18407407407407406,0.18407407407407406,8,0,52
789,34.94740740740741,34.94740740740741,1746,0,5720
790,1.4733333333333336,1.4733333333333336,66,0,91
795,53.776666666666664,57.763703703703705,12159,71,14766
798,0.0,0.0,0,0,0
800,0.4477777777777778,0.4477777777777778,40,0,67
803,12.784074074074075,12.784074074074075,1650,11,2174
820,27.850933862433866,35.13740740740741,1932,0,8812
824,11.712592592592591,11.712592592592591,856,2,964
837,4.91037037037037,4.91037037037037,289,0,451
838,0.0,0.0,0,0,0
839,11.23851851851852,11.23851851851852,539,0,1231
841,3.3474074074074074,3.3474074074074074,151,0,616
843,1.35,1.35,61,0,85
844,1.2466666666666664,2.0777777777777775,124,0,222
852,5.728148148148149,5.728148148148149,286,0,536
853,81.65704232804232,86.99851851851852,6359,28,7574
854,12.245555555555558,15.864814814814816,945,3,1229
855,11.946666666666665,15.385185185185184,695,3,1535
859,88.78865993265994,89.36333333333333,19590,110,22249
863,0.0,0.0,0,1,0
864,4.0,4.0,321,0,441
867,56.49407407407408,56.49407407407408,2998,8,3858
868,0.6011111111111112,0.6011111111111112,48,0,116
869,6.823999999999999,10.217407407407405,574,0,1216
882,26.092666666666663,29.683333333333337,1594,2,2118
889,14.21111111111111,15.529629629629627,949,5,2644
896,12.172962962962965,12.172962962962965,578,0,745
897,19.83074074074074,19.83074074074074,1398,4,1733
909,0.7288888888888888,0.7288888888888888,33,0,43
910,0.0,0.0,0,0,0
912,0.6551851851851852,0.6551851851851852,29,0,59
914,55.66385802469135,62.62962962962963,3757,3,5214
915,8.867407407407407,8.867407407407407,568,1,761
916,23.813148148148144,24.104814814814816,1471,1,2728
917,81.77745117845119,87.94444444444446,8374,73,9874
